Student_number,file_1_mark,file_2_mark,file_3_mark,Feedback,Percentage score,Mark contribution 
"m65577ha
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p49263ca
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"w25478ia
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j48751oa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h26115aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p91607ma
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"p06411ua
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m55182va
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"h64203za
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"t50885aa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"b91517ea
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"y59276ma
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p55643na
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"j29815fa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p80249ra
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"s55264aa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p17540oa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"r88993ia
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"m65670fa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"j09180ga
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"d03211aa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"f63279ma
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j14088na
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h70565na
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"y69004la
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"y59426ra
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p93899aa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"s03884aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"b48871sa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m01964ua
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"e37076ka
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"r50263ma
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"f54617sa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"s58860aa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"c81776oa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"x74657fa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p01679ma
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"e17646fa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"f01643ka
",1,0,0,"Correct score for file 1
Incorrect score for file 2
Incorrect score for file 3
",33.33333333,1.666666667
"v80015aa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"s09672ba
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"w65214ka
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"m46198sa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"q26752aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"n79777aa
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"s50548ma
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"s68250ma
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"m57983ma
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p15748aa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"a08872aa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"u95206ma
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"g78896na
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"e55646sa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"j49970fa
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"s74996sa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h20233aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m17832wa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"r22997aa
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"b69141na
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"y96758ma
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"y78202oa
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"q05506bb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"w73862jb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"a43986rb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"f05815rb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"j16919mb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"z39535rb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"z89079mb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"w75724sb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"v36373bb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"v31903mb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"r89835eb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"n61655sb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"q86352bb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"e78508hb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"u89014ab
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"s29576tb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h19953mb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"f25035sb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"s63644vb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"q53226rb
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"g21434rb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p44797jb
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"b64065ab
",1,0,0,"Correct score for file 1
Incorrect score for file 2
Incorrect score for file 3
",33.33333333,1.666666667
"j90095jb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"f92301jb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p80873ab
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h08963ob
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"c20818hb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"v41567lb
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"k78886jb
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"c28644ab
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"h00203pb
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j96409sb
",1,0,0,"Correct score for file 1
Incorrect score for file 2
Incorrect score for file 3
",33.33333333,1.666666667
"m18453ab
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"y77372db
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"a11694mc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h15879ac
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"r56325cc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"y36340hc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"q57044nc
",0,0,0,"Incorrect score for file 1
Incorrect score for file 2
Incorrect score for file 3
",0,0
"h54023kc
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"j06724tc
",0,0,0,"Incorrect score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"v14799cc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"u60770mc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"g71830mc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"z16075sc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"v65391yc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"a65914zc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"n25359ec
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"r83187jc
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"g86908rc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"b95211hc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p50391tc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"q18662ac
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"a07230cc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"e11226oc
",1,0,0,"Correct score for file 1
Incorrect score for file 2
Incorrect score for file 3
",33.33333333,1.666666667
"h06023jc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"s13506jc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"h89565jc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"x43615kc
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"w21706bc
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"r25329lc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"c42786tc
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"d50341jc
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p50792sd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"g45512id
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"w48678cd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"c87452cd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"x33731ed
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"b12745nd
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"e86816fd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m59511md
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"q78608sd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"b39141od
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"k14454hd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"n62189sd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"p49111md
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j86153jd
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"j08328hd
",1,0,0,"Correct score for file 1
Incorrect score for file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"h10505jd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"f06903rd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"k88166nd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"j23676kd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"h59035dd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"d62825cd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"y70582kd
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"k74082yd
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"d72499pd
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j14769hd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"a63140nd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"p56273gd
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"u25144jd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"r77503bd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h49151gd
",1,0,0,"Correct score for file 1
Incorrect score for file 2
Incorrect score for file 3
",33.33333333,1.666666667
"p72470id
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"t56091yd
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"x63917cd
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"v78643ld
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"k40092ae
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"w60078be
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"u18436re
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"n38595ae
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"x43881he
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"n95835ce
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"v78159ee
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"q78216ae
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"d52553je
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"u68780be
",0,0,0,"Incorrect score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"j98415kf
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"u61944rf
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"j95271zf
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"s11642lf
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"u35610df
",1,1,0,"Correct score for file 1
Correct score for file 2
No file output or incorrect output format for test file 3
",66.66666667,3.333333333
"h96407tf
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"q96128lf
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"n95301jf
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"e64848xf
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"g21898tg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"e41002vg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"p56781ng
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"n86739dg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"w16910dg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"d66835dg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j80841pg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"j56995jg
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"p23525lg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"v91365dg
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"y42270sg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"s13496vg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m19364tg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"z83313gg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"x46833ng
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m17324sg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"m25334kg
",1,0,0,"Correct score for file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",33.33333333,1.666666667
"u34592sg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"z12203pg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
"h01895cg
",1,1,1,"Correct score for file 1
Correct score for file 2
Correct score for file 3
",100,5
"m31181jg
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
",0,0
